#
# Correspondance between agency quality codes and BoM quality codes and SOS2
# qualifier.
#
# The table was extracted 
# from http://www.bom.gov.au/water/hrs/qc_doc.shtml
#
# Correspondance between BoM quality codes and SOS2 qualifier was found in
# http://www.bom.gov.au/waterdata/wiski-web-public/Guide%20to%20Sensor%20Observation%20Services%20(SOS2)%20for%20Water%20Data%20%20Online%20v1.0.1.pdf
# 
State,Agency,Agency Quality Code,Description,Bureau Quality code,SOS2 qualifier
ACT,IconWater,1,Good reliable data,A,10
ACT,IconWater,2,Good data; small adjustment required,A,10
ACT,IconWater,3,Data is reflecting general trends but is not considered very accurate.,B,90
ACT,IconWater,4,Correlated data,B,90
ACT,IconWater,5,Water Level below CTF but data is OK,A,10
ACT,IconWater,6,Not yet verified,E,140
ACT,IconWater,10,Good reliable gauging,A,10
ACT,IconWater,11,Gauging requires another gauging to substantiate its accuracy,A,10
ACT,IconWater,12,"Unreliable, gauging disregard",F,210
ACT,IconWater,13,Volumetric gauging,A,10
ACT,IconWater,15,No SG reading to verify data,A,10
ACT,IconWater,16,Intake/sensor completely buried with silt,E,140
ACT,IconWater,17,Water level below orifice,E,140
ACT,IconWater,19,Estimated data,A,10
ACT,IconWater,20,Alarm test event,F,210
ACT,IconWater,21,Sensor failed,F,210
ACT,IconWater,22,Control drowned out by downstream influence,B,90
ACT,IconWater,23,"Control blockage, data not representative of actual flow",B,90
ACT,IconWater,24,Ramping of data due to algae on sensor,B,90
ACT,IconWater,26,Good daily read records,A,10
ACT,IconWater,27,Good twice weekly read records,A,10
ACT,IconWater,30,Irregular Time Rate Data - weekly/monthly read.,B,90
ACT,IconWater,31,Level data erroneous due to Venturi effect,B,90
ACT,IconWater,32,Unknown external influence data not representative,E,140
ACT,IconWater,33,Discharge obtained using stage only,B,90
ACT,IconWater,34,Discharge obtained using stage and velocity data,B,90
ACT,IconWater,51,Occasional gaps of not more than two days interpolated,C,110
ACT,IconWater,52,"Several readings per day during high flows, plotted on strip chart then processed through digitizer",B,90
ACT,IconWater,53,"Partially silted inlet or orifice, reliable interpolation",B,90
ACT,IconWater,76,Reliable interpolation,B,90
ACT,IconWater,77,"Correlation with other station, same variable",C,110
ACT,IconWater,78,"Correlation with other station, different variable",C,110
ACT,IconWater,79,Records partly estimated,C,110
ACT,IconWater,80,Accumulated,A,10
ACT,IconWater,82,Linear interpolation across gap in records.,F,210
ACT,IconWater,102,"Obtained by conversion, from discharges plotted on old drawing",C,110
ACT,IconWater,103,Unreliable interpolation,C,110
ACT,IconWater,104,Records estimated,C,110
ACT,IconWater,105,Records lost - Max. & Min. water level or total rainfall available only,F,210
ACT,IconWater,106,Unreliable time rate,C,110
ACT,IconWater,107,"Unreliable records, silted inlet or orifice",C,110
ACT,IconWater,108,Gauge drowned out,C,110
ACT,IconWater,109,"Poor quality records, plotted on strip chart then processed through digitizer",C,110
ACT,IconWater,110,Stage variable exceeded chart limit,F,210
ACT,IconWater,140,Level below CTF,A,10
ACT,IconWater,145,Discharge not reliable Rating under review,B,90
ACT,IconWater,150,Rating table extrapolated due to inadequate gauging information,C,110
ACT,IconWater,151,Data not yet available,F,210
ACT,IconWater,155,Discharge not available Rating under review,F,210
ACT,IconWater,156,Sensor out ranged,F,210
ACT,IconWater,160,Water level below sensor,F,210
ACT,IconWater,201,Data not recorded,F,210
ACT,IconWater,202,Rating table not available,F,210
ACT,IconWater,255,No Record,F,210
NSW,DILW,1,RATINGS/TS - No data in the period have been adjusted from sensing system measurement in any way - see code definitions,A,10
NSW,DILW,2,TS - Data adjusted during processing - see code definitions,A,10
NSW,DILW,3,RATINGS/TS - No data in the period have been adjusted from sensing system measurement in any way - see code definitions,A,10
NSW,DILW,4,TS - Data adjusted during processing - see code definitions,A,10
NSW,DILW,5,RATINGS/TS - No data in the period have been adjusted from sensing system measurement in any way - see code definitions,A,10
NSW,DILW,6,GAUGINGS - Good Gauging to AS3778; TS - Data adjusted during processing see comments,A,10
NSW,DILW,7,RATINGS/TS - Large uncertainty - data in period not adjusted from sensing system measurement in any way - see code definitions; GAUGINGS - Good Gauging,B,90
NSW,DILW,8,TS - Data adjusted during processing - see comments,B,90
NSW,DILW,9,RATINGS/TS - Large uncertainty - data in period not adjusted from sensing system measurement in any way - see code definitions,B,90
NSW,DILW,10,TS - Data adjusted during processing - see comments,B,90
NSW,DILW,11,TS-Synthetic or Artificial Data. Data which does not relate directly to the measured variable but for which a valid code is required,C,110
NSW,DILW,12,GAUGINGS - Acceptable Gauging,F,210
NSW,DILW,17,GAUGINGS - Reasonable Gauging,F,210
NSW,DILW,26,"TS - Daily, accumulated or spot data",E,140
NSW,DILW,30,Pre 21 Aug 2004 - RATINGS/TS - Highly accurate continuous records,B,90
NSW,DILW,31,GAUGINGS - Brief Gauging High Flow,F,210
NSW,DILW,32,Pre 21 Aug 2004 - TS - Good continuous record.,B,90
NSW,DILW,33,"Pre 21 Aug 2004 - TS - Good record processed +/- 10mm, within 30 minutes",B,90
NSW,DILW,34,"Pre 21 Aug 2004 - RATINGS - Good record where number of gaugings >=5, 95% within 10% curve",A,10
NSW,DILW,35,"GAUGINGS - Normal Gauging Bad Site, Normal Gauging Backwater Affected, Surface Velocities",F,210
NSW,DILW,36,Pre 21 Aug 2004 - TS - Good spot samples (daily read) +/-15 minutes,B,90
NSW,DILW,38,Pre 1 Nov 1996 - RATINGS/TS - Good record processed prior to 1/11/96,A,10
NSW,DILW,39,Pre 21 Aug 2004 - TS - Water level below sensor and no flow/dry stream,C,110
NSW,DILW,40,Pre 21 Aug 2004 - TS - Fair measured data,B,90
NSW,DILW,41,Pre 21 Aug 2004 - RATINGS/TS - Fair measured data,E,140
NSW,DILW,44,Pre 21 Aug 2004 - RATINGS - Fair record where 95% of flow gaugings within 20% of discharge,B,90
NSW,DILW,45,"Pre 21 Aug 2004 - TS - Spot samples of fair quality, +/- 1 hour",E,140
NSW,DILW,46,"Pre 21 Aug 2004 - TS - Level estimated to +/-20mm, time unknown",E,140
NSW,DILW,51,TS - Data estimated - see comments,C,110
NSW,DILW,52,RATINGS - Backwater affected - see comments,B,90
NSW,DILW,54,GAUGINGS - Unverified Gauging,F,210
NSW,DILW,57,Pre 21 Aug 2004 - TS - Data limited by client spec. fulfils requirement of qc40,B,90
NSW,DILW,58,Pre 1 Nov 1996 - TS - Fair record processed prior to 1/11/96,B,90
NSW,DILW,60,"Pre 21 Aug 2004 - TS - Poor measured data, time +/- 2 hours.",B,90
NSW,DILW,61,Pre 21 Aug 2004 - RATINGS/TS - Poor measured data,E,140
NSW,DILW,62,Pre 21 Aug 2004 - RATINGS - High segment Rating table gaugings <5,B,90
NSW,DILW,63,Pre 21 Aug 2004 - RATINGS - Low segment Rating table gauging<5 (often unstable),B,90
NSW,DILW,64,"Pre 21 Aug 2004 - RATINGS - Poor measured data, 95% of flow gaugings within 30% of discharge",B,90
NSW,DILW,65,"Pre 21 Aug 2004 - TS - Spot samples, conditions as per poor data, +/- 2 hours;",E,140
NSW,DILW,66,"Pre 21 Aug 2004 - TS - Data within +/-20cm, time unknown",C,110
NSW,DILW,67,"Pre 21 Aug 2004 - RATINGS/TS - Data limited by client specifications - Poor measured data, time +/- 2 hour",B,90
